Species,Frequency,Category
I,1909,X-site
PB,1794,B-site
MA,1327,A-site
BR,1083,X-site
FA,1023,A-site
CS,821,A-site
SN,349,B-site
BI,108,B-site
BA,73,A-site
AG,64,Additive/Other
PEA,50,A-site
SB,41,B-site
CL,34,X-site
S,25,Additive/Other
CU,18,B-site
RB,17,A-site
K,12,A-site
GU,12,A-site
AN,11,Additive/Other
HA,11,Additive/Other
EA,9,A-site
BDA,9,A-site
HEA,8,A-site
DMA,7,A-site
PEI,7,Additive/Other
F,7,X-site
NH4,6,Additive/Other
PA,6,Additive/Other
GE,6,B-site
NA,6,A-site
PDMA,5,Additive/Other
IEA,5,Additive/Other
SCN,5,X-site
GA,4,Additive/Other
PBA,4,Additive/Other
CO,4,B-site
PDA,4,Additive/Other
TFEA,4,Additive/Other
SR,4,A-site
PMA,4,Additive/Other
LI,4,A-site
F3EA,3,Additive/Other
CIEA,3,Additive/Other
EDA,3,A-site
NI,3,B-site
C6H4NH2,3,Additive/Other
ODA,2,Additive/Other
NMA,2,A-site
N,2,Additive/Other
F5PEA,2,Additive/Other
O,2,Additive/Other
HDA,2,Additive/Other
ZN,2,B-site
CA,2,A-site
4AMP,2,Additive/Other
3AMP,2,Additive/Other
ISO,2,Additive/Other
MF1PEA,2,Additive/Other
4APYH,2,Additive/Other
LA,2,Additive/Other
PF1PEA,2,Additive/Other
NB,1,B-site
C3H7NH3,1,Additive/Other
PF6,1,X-site
AVA,1,A-site
MG,1,B-site
FE,1,B-site
MN,1,B-site
EPA,1,Additive/Other
AU,1,Additive/Other
PR,1,Additive/Other
TI,1,B-site
PT,1,Additive/Other
Y,1,Additive/Other
TE,1,Additive/Other
NH3,1,Additive/Other
3S,1,Additive/Other
IPA,1,A-site
BZA,1,Additive/Other
C4H9NH3,1,Additive/Other
C8H17NH3,1,Additive/Other
DAT,1,Additive/Other
IA,1,Additive/Other
OF1PEA,1,Additive/Other
TEA,1,Additive/Other
TN,1,Additive/Other
TA,1,Additive/Other
ACA,1,Additive/Other
DAP,1,Additive/Other
EU,1,Additive/Other
PYP,1,Additive/Other
GABA,1,Additive/Other
MTEA,1,Additive/Other
IM,1,Additive/Other
PYREA,1,Additive/Other
IMEA,1,Additive/Other
NMABR,1,Additive/Other
OA,1,Additive/Other
DA,1,Additive/Other
THFA,1,Additive/Other
CH3,1,Additive/Other
C6H13NH3,1,Additive/Other
THMA,1,Additive/Other
BEA,1,Additive/Other
ETPY,1,Additive/Other
FPEAI,1,Additive/Other
